danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.0769,0.0846,2,-25.997,1,0.045,0.922,0.929,0.113,0.0586,176.329,audio_features,4NbfriaDolX0mbgxP56YDb,spotify:track:4NbfriaDolX0mbgxP56YDb,https://api.spotify.com/v1/tracks/4NbfriaDolX0mbgxP56YDb,https://api.spotify.com/v1/audio-analysis/4NbfriaDolX0mbgxP56YDb,363253,4
0.233,0.0252,2,-24.824,1,0.0346,0.975,0.601,0.143,0.0936,94.736,audio_features,4J0e4gEqaLQlG5EM0wws1K,spotify:track:4J0e4gEqaLQlG5EM0wws1K,https://api.spotify.com/v1/tracks/4J0e4gEqaLQlG5EM0wws1K,https://api.spotify.com/v1/audio-analysis/4J0e4gEqaLQlG5EM0wws1K,707173,4
0.15,0.0115,2,-26.636,1,0.0425,0.976,0.191,0.0836,0.0955,101.769,audio_features,7hwxCWVViL2y4YyLyDCeof,spotify:track:7hwxCWVViL2y4YyLyDCeof,https://api.spotify.com/v1/tracks/7hwxCWVViL2y4YyLyDCeof,https://api.spotify.com/v1/audio-analysis/7hwxCWVViL2y4YyLyDCeof,394560,3
0.149,0.128,2,-20.459,1,0.0462,0.944,0.928,0.0703,0.113,47.362,audio_features,0CJuLeZpCdqrqoCMXWZw8k,spotify:track:0CJuLeZpCdqrqoCMXWZw8k,https://api.spotify.com/v1/tracks/0CJuLeZpCdqrqoCMXWZw8k,https://api.spotify.com/v1/audio-analysis/0CJuLeZpCdqrqoCMXWZw8k,415813,3
0.139,0.148,7,-18.882,1,0.0386,0.929,0.954,0.106,0.0788,142.536,audio_features,2oUX4i8ByoaDrHHz9z5Bga,spotify:track:2oUX4i8ByoaDrHHz9z5Bga,https://api.spotify.com/v1/tracks/2oUX4i8ByoaDrHHz9z5Bga,https://api.spotify.com/v1/audio-analysis/2oUX4i8ByoaDrHHz9z5Bga,306533,3
0.184,0.0915,2,-20.03,0,0.0413,0.981,0.734,0.222,0.0387,119.375,audio_features,6izxDWP8kx2yErjuHOdhHV,spotify:track:6izxDWP8kx2yErjuHOdhHV,https://api.spotify.com/v1/tracks/6izxDWP8kx2yErjuHOdhHV,https://api.spotify.com/v1/audio-analysis/6izxDWP8kx2yErjuHOdhHV,173000,3
0.126,0.204,4,-16.095,0,0.0373,0.924,0.918,0.115,0.053,73.59,audio_features,1TQ2UYCN7nhfj3cfcFC76V,spotify:track:1TQ2UYCN7nhfj3cfcFC76V,https://api.spotify.com/v1/tracks/1TQ2UYCN7nhfj3cfcFC76V,https://api.spotify.com/v1/audio-analysis/1TQ2UYCN7nhfj3cfcFC76V,183000,4
0.444,0.116,4,-23.172,0,0.041,0.977,0.868,0.0862,0.512,150.319,audio_features,06am46cX3Z6YlSsg0TyVHA,spotify:track:06am46cX3Z6YlSsg0TyVHA,https://api.spotify.com/v1/tracks/06am46cX3Z6YlSsg0TyVHA,https://api.spotify.com/v1/audio-analysis/06am46cX3Z6YlSsg0TyVHA,145613,4
0.0931,0.0474,0,-23.19,0,0.0352,0.543,0.876,0.148,0.0351,86.464,audio_features,57bwx45CP9kNE58yMUVgQ2,spotify:track:57bwx45CP9kNE58yMUVgQ2,https://api.spotify.com/v1/tracks/57bwx45CP9kNE58yMUVgQ2,https://api.spotify.com/v1/audio-analysis/57bwx45CP9kNE58yMUVgQ2,706493,4
0.07,0.0724,4,-25.949,0,0.0404,0.946,0.896,0.286,0.0369,75.518,audio_features,0H3JiNc4CGnFVwMqWvACmO,spotify:track:0H3JiNc4CGnFVwMqWvACmO,https://api.spotify.com/v1/tracks/0H3JiNc4CGnFVwMqWvACmO,https://api.spotify.com/v1/audio-analysis/0H3JiNc4CGnFVwMqWvACmO,327600,4
